,Question,Answer
142,What is the simplest example of grafting? <sep> What is the simplest example of grafting? <sep>,The simplest example of grafting is the transplantation of skin.
143,What is the term for the process of grafting a tissue into a new bed? <sep> What is the process of grafting a tissue into a new bed called? <sep> What is the process of grafting a tissue into a new bed called? <sep>,"In order that the graft may survive and have a favourable chance of ""taking,"" as it is called, the transplanted tissue must retain its vitality until it has formed an organic connection with the tissue in which it is placed, so that it may derive the necessary nourishment from its new bed."
144,What happens when the conditions are met? <sep> What happens when the tissues of the graft continue to proliferate? <sep> What does the graft produce to replace those that are lost? <sep> What does the graft become incorporated with? <sep>,"When these conditions are fulfilled the tissues of the graft continue to proliferate, producing new tissue elements to replace those that are lost and making it possible for the graft to become incorporated with the tissue with which it is in contact."
145,What is the only way dead tissue can do neither of these things? <sep> What is the only way dead tissue can act as a model? <sep> What is the maximum capacity of dead tissue? <sep> What is a portion of a sterilised marine sponge seen to become permeated with when it is embedded in tissues? <sep>,"Dead tissue, on the other hand, can do neither of these things; it is only capable of acting as a model, or, at the most, as a scaffolding for such mobile tissue elements as may be derived from, the parent tissue with which the graft is in contact: a portion of sterilised marine sponge, for example, may be observed to become permeated with granulation tissue when it is embedded in the tissues."
146,What is a graft of living tissue capable of? <sep> What is a graft of living tissue capable of? <sep> What is a graft of living tissue capable of? <sep> What is a graft of living tissue capable of? <sep> What is a graft of living tissue capable of? <sep>,"A successful graft of living tissue is not only capable of regeneration, but it acquires a system of lymph and blood vessels, so that in time it bleeds when cut into, and is permeated by new nerve fibres spreading in from the periphery towards the centre."
147,What is the purpose of the different tissues of the body after death? <sep> What are the higher tissues of the central nervous system useless for? <sep> What are the connective tissues that retain their vitality for several hours after death? <sep> What is the same for the skin and its appendages? <sep>,"It is instructive to associate the period of survival of the different tissues of the body after death, with their capacity of being used for grafting purposes; the higher tissues such as those of the central nervous system and highly specialised glandular tissues like those of the kidney lose their vitality quickly after death and are therefore useless for grafting; connective tissues, on the other hand, such as fat, cartilage, and bone retain their vitality for several hours after death, so that when they are transplanted, they readily ""take"" and do all that is required of them: the same is true of the skin and its appendages."
148,What are the sources of Grafts? <sep>,Sources of Grafts.
149,What is convenient to differentiate between autoplastic grafts? <sep> What is homoplastic grafts derived from? <sep> What is heteroplastic grafts derived from? <sep>,"It is convenient to differentiate between  autoplastic  grafts, that is those derived from the same individual;  homoplastic  grafts, derived from another animal of the same species; and  heteroplastic  grafts, derived from an animal of another species."
150,What is the most likely outcome of autoplastic grafts? <sep>,"Other conditions being equal, the prospects of success are greatest with autoplastic grafts, and these are therefore preferred whenever possible."
151,What must not be handled or allowed to dry? <sep> What must not be allowed to intervene between the new soil and the graft? <sep> What must be excluded from the graft? <sep> What conditions permit of the primary healing of wounds? <sep>,"There are certain details making for success that merit attention: the graft must not be roughly handled or allowed to dry, or be subjected to chemical irritation; it must be brought into accurate contact with the new soil, no blood-clot intervening between the two, no movement of the one upon the other should be possible and all infection must be excluded; it will be observed that these are exactly the same conditions that permit of the primary healing of wounds, with which of course the healing of grafts is exactly comparable."
152,Preservation of Tissues for Grafting? <sep>,Preservation of Tissues for Grafting.
153,What was the first place that tissues could be taken from the operating theatre and kept in cold storage? <sep>,It was at one time believed that tissues might be taken from the operating theatre and kept in cold storage until they were required.
154,What happens to tissues that have been separated from the body for some time? <sep> What happens to tissues that have been separated from the body for some time? <sep> What happens to tissues that have been separated from the body for some time? <sep> What happens to tissues that have been separated from the body for some time? <sep> What happens to tissues that have been separated from the body for some time? <sep>,"It is now agreed that tissues which have been separated from the body for some time inevitably lose their vitality, become incapable of regeneration, and are therefore unsuited for grafting purposes."
155,What should a patient be embedded in to preserve tissue for future grafting? <sep> What has been done with portions of costal cartilage and bone? <sep>,"If it is intended to preserve a portion of tissue for future grafting, it should be embedded in the subcutaneous tissue of the abdominal wall until it is wanted; this has been carried out with portions of costal cartilage and of bone."
156,What is the term for what type of transplant? <sep>,"INDIVIDUAL TISSUES AS GRAFTS  The Blood  lends itself in an ideal manner to transplantation, or, as it has long been called,  transfusion ."
157,What happens when the new blood is not always tolerated by the old? <sep> What happens when the new blood is not always tolerated by the old? <sep> What happens when the new blood is not always tolerated by the old? <sep> What happens when the new blood is not always tolerated by the old? <sep>,"Being always a homoplastic transfer, the new blood is not always tolerated by the old, in which case biochemical changes occur, resulting in hamolysis, which corresponds to the disintegration of other unsuccessful homoplastic grafts."
158,What is the name of the article that discusses transfusion? <sep>,"(See article on Transfusion,  Op."
159,What is the name of the company that is based in the United States? <sep>,Surg.
160,What is the name of the person who is a member of the federation? <sep>,", p."
161,What is the name of the spokesman for the spokesman? <sep>,37.)
162,What is the name of the body part that is responsible for the skin? <sep>,The Skin.
163,What was the first tissue to be used for grafting purposes? <sep> What is the most common cause of skin defects? <sep> What is tedious without the aid of grafts? <sep>,"The skin was the first tissue to be used for grafting purposes, and it is still employed with greater frequency than any other, as lesions causing defects of skin are extremely common and without the aid of grafts are tedious in healing."
164,What can be applied to a raw surface or to a surface that is covered with granulations? <sep>,Skin grafts may be applied to a raw surface or to one that is covered with granulations.
165,What is often indicated after operations for malignant disease? <sep> What is a common accident that causes skin grafting? <sep>,"Skin grafting of raw surfaces  is commonly indicated after operations for malignant disease in which considerable areas of skin must be sacrificed, and after accidents, such as avulsion of the scalp by machinery."
166,What is the main purpose of skin grafting? <sep> What is the purpose of skin grafting? <sep> What is the surface covered by? <sep> What happens when scar tissue contracts? <sep>,Skin grafting of granulating surfaces  is chiefly employed to promote healing in the large defects of skin caused by severe burns; the grafting is carried out when the surface is covered by a uniform layer of healthy granulations and before the inevitable contraction of scar tissue makes itself manifest.
167,"What is the usual procedure for scraping away the granulations before applying the grafts? <sep> If the granulations are healthy and can be rendered aseptic, the grafts may be placed on them directly? <sep>","Before applying the grafts it is usual to scrape away the granulations until the young fibrous tissue underneath is exposed, but, if the granulations are healthy and can be rendered aseptic, the grafts may be placed on them directly."
168,What is used to stop the bleeding when scraping away the granulations? <sep> What is placed next to the raw surface to prevent the gauze adhesion? <sep> What is the green protective? <sep>,"If it is decided to scrape away the granulations, the oozing must be arrested by pressure with a pad of gauze, a sheet of dental rubber or green protective is placed next the raw surface to prevent the gauze adhering and starting the bleeding afresh when it is removed."
169,What is the name of the method used to make skin-rafting? <sep>,Methods of Skin-Grafting.
170,What is the main or exclusively employed method of epidermis grafting? <sep> What is the other method of grafting? <sep> What is the graft composed of? <sep> What is the other method of grafting? <sep>,"Two methods are employed: one in which the epidermis is mainly or exclusively employed epidermis or epithelial grafting; the other, in which the graft consists of the whole thickness of the true skin cutis-grafting."
171,What is the term for Epidermis? <sep>,Epidermis or Epithelial Grafting.
172,Who introduced the method of calculating? <sep>,The method introduced by the late Professor Thiersch of Leipsic is that almost universally practised.
173,What is the procedure called? <sep> What do the strips of epidermis transplant from the surface of the skin do? <sep> What do the strips of epidermis transplant look like? <sep> What do the strips of epidermis transplant look like? <sep>,"It consists in transplanting strips of epidermis shaved from the surface of the skin, the razor passing through the tips of the papilla, which appear as tiny red points yielding a moderate ooze of blood."
174,Where are the strips obtained? <sep> What is the skin in the lateral aspects of the thigh or upper arm? <sep>,"The strips are obtained from the front and lateral aspects of the thigh or upper arm, the skin in those regions being pliable and comparatively free from hairs."
175,What is the blade of Thiersch's grafting knife rinsed in? <sep> What is the blade of Thiersch's grafting knife kept moistened with? <sep> What is the blade of Thiersch's grafting knife rinsed in? <sep>,"They are cut with a sharp hollow-ground razor or with Thiersch's grafting knife, the blade of which is rinsed in alcohol and kept moistened with warm saline solution."
176,What is made easier if the skin is well stretched and kept flat and perfectly steady? <sep> What is the operator's left hand exerting traction on? <sep> What is the hands of the assistant on the skin in front? <sep>,"The cutting is made easier if the skin is well stretched and kept flat and perfectly steady, the operator's left hand exerting traction on the skin behind, the hands of the assistant on the skin in front, one above and the other below the seat of operation."
177,What is the razor kept parallel with? <sep> How long can grafts be cut? <sep> How wide can grafts be cut? <sep>,"To ensure uniform strips being cut, the razor is kept parallel with the surface and used with a short, rapid, sawing movement, so that, with a little practice, grafts six or eight inches long by one or two inches broad can readily be cut."
178,What is the general anasthetic called? <sep> What is regional anasthesia obtained by? <sep> What is the solution of 1%? <sep>,"The patient is given a general anasthetic, or regional anasthesia is obtained by injections of a solution of one per cent."
179,What is the usual method of disinfection of the skin? <sep> What is the first step in the disinfection of the skin? <sep> What is the second step in the disinfection of the skin? <sep> What is the first step in the disinfection of the skin? <sep>,"novocain into the line of the lateral and middle cutaneous nerves; the disinfection of the skin is carried out on the usual lines, any chemical agent being finally got rid of, however, by means of alcohol followed by saline solution."
180,What is used to straighten out the strips of epidermis? <sep> What is used to express blood and air-bells? <sep> What is used to ensure accurate contact? <sep>,"The strips of epidermis wrinkle up on the knife and are directly transferred to the surface, for which they should be made to form a complete carpet, slightly overlapping the edges of the area and of one another; some blunt instrument is used to straighten out the strips, which are then subjected to firm pressure with a pad of gauze to express blood and air-bells and to ensure accurate contact, for this must be as close as that between a postage stamp and the paper to which it is affixed."
181,What is the best dressing for the grafted area? <sep> What is the patent variety known as ambrine? <sep> What should be moistened every other day or so with fresh paraffin? <sep>,"As a dressing for the grafted area and of that also from which the grafts have been taken, gauze soaked in  liquid paraffin  the patent variety known as  ambrine  is excellent appears to be the best; the gauze should be moistened every other day or so with fresh paraffin, so that, at the end of a week, when the grafts should have united, the gauze can be removed without risk of detaching them."
182,What is another useful type of dressing? <sep> What is another useful type of dressing? <sep> What is another useful type of dressing? <sep>,Dental wax  is another useful type of dressing; as is also  picric acid  solution.
183,What is applied over the gauze? <sep> What is kept in place by a firmly applied bandage? <sep> What should be added to the limbs to prevent movement? <sep>,"Over the gauze, there is applied a thick layer of cotton wool, and the whole dressing is kept in place by a firmly applied bandage, and in the case of the limbs some form of splint should be added to prevent movement."
184,What is used to protect the grafts after vaccination? <sep> What does the grafts look like after being injected? <sep>,"A dressing may be dispensed with altogether, the grafts being protected by a wire cage such as is used after vaccination, but they tend to dry up and come to resemble a scab."
185,What is a good way to protect grafts after they have healed? <sep> What is another way to protect grafts after they have healed? <sep> What is another way to protect grafts after they have healed? <sep> What is another way to protect grafts after they have healed? <sep>,"When the grafts have healed, it is well to protect them from injury and to prevent them drying up and cracking by the liberal application of lanoline or vaseline."
186,What is the first thing that the skin is fixed to? <sep> What is the second thing that the skin is fixed to? <sep> What is the first thing that the skin is fixed to? <sep> What is the second thing that the skin is fixed to? <sep>,"The new skin is at first insensitive and is fixed to the underlying connective tissue or bone, but in course of time (from six weeks onwards) sensation returns and the formation of elastic tissue beneath renders the skin pliant and movable so that it can be pinched up between the finger and thumb."
187,What is the size of the skin Reverdin uses? <sep> What is the size of the skin Reverdin uses? <sep> What is the size of the skin Reverdin uses? <sep> What is the size of the skin Reverdin uses? <sep>,Reverdin's  method consists in planting out pieces of skin not bigger than a pin-head over a granulating surface.
188,What is the most common use of the e-mail service? <sep>,It is seldom employed.
189,Grafts of what plant? <sep>,Grafts of the Cutis Vera.
190,Wolff advocated grafts that covered the entire thickness of what? <sep> Wolff's name is associated with what type of graft? <sep>,Grafts consisting of the entire thickness of the true skin were specially advocated by Wolff and are often associated with his name.
191,What shape should the wounds be? <sep> What shape should the wounds be? <sep> What shape should the wounds be? <sep>,"They should be cut oval or spindle-shaped, to facilitate the approximation of the edges of the resulting wound."
192,What should be cut to the size of the surface it is to cover? <sep> Gillies believes that tension of the graft favours its taking? <sep>,The graft should be cut to the exact size of the surface it is to cover; Gillies believes that tension of the graft favours its taking.
193,What surface can grafts be placed on? <sep> What type of surface can grafts be placed on? <sep>,These grafts may be placed either on a fresh raw surface or on healthy granulations.
194,What is an advantage of stitching them in position? <sep>,"It is sometimes an advantage to stitch them in position, especially on the face."
195,What is the same as in epidermis grafting? <sep>,The dressing and the after-treatment are the same as in epidermis grafting.
196,What is the degree of uncertainty about the graft retaining its vitality long enough to permit of its deriving the necessary nourishment from its new surroundings? <sep> In a certain number of cases the flap dies and is thrown off as a slough moist or dry according to the presence or absence of septic infection? <sep>,There is a degree of uncertainty about the graft retaining its vitality long enough to permit of its deriving the necessary nourishment from its new surroundings; in a certain number of cases the flap dies and is thrown off as a slough moist or dry according to the presence or absence of septic infection.
197,"What must be the technique for cutis-grafting without? <sep> What must not only be a complete absence of movement, but also no traction on the flap that will endanger its blood supply? <sep>","The technique for cutis-grafting must be without a flaw, and the asepsis absolute; there must not only be a complete absence of movement, but there must be no traction on the flap that will endanger its blood supply."
198,What method has been introduced to reduce the uncertainty in the results of cutis-grafting? <sep> What has resulted in the widespread application of the indirect method? <sep>,"Owing to the uncertainty in the results of cutis-grafting the  two-stage  or  indirect method  has been introduced, and its almost uniform success has led to its sphere of application being widely extended."
199,How long is the flap left attached at one of its margins? <sep> How long is the flap left attached at one of its margins? <sep>,The flap is raised as in the direct method but is left attached at one of its margins for a period ranging from 14 to 21 days until its blood supply from its new bed is assured; the detachment is then made complete.
200,What may influence the selection of a flap? <sep> What is more likely to take a flap cut from the side of the head to fill a defect in the cheek? <sep> What is more likely to take a flap cut with its base above? <sep>,"The blood supply of the proposed flap may influence its selection and the way in which it is fashioned; for example, a flap cut from the side of the head to fill a defect in the cheek, having in its margin of attachment or pedicle the superficial temporal artery, is more likely to take than a flap cut with its base above."
201,"What is another modification to raise the flap but leave it connected at both ends like the piers of a bridge? <sep> What is well suited to defects of skin on the dorsum of the fingers, hand and forearm? <sep> The bridge of skin is raised from the abdominal wall and the hand is passed beneath it and securely fixed in position? <sep> After an interval of 14 to 21 days, when the flap is assured of its blood supply, the piers of the bridge are divided? <sep>","Another modification is to raise the flap but leave it connected at both ends like the piers of a bridge; this method is well suited to defects of skin on the dorsum of the fingers, hand and forearm, the bridge of skin is raised from the abdominal wall and the hand is passed beneath it and securely fixed in position; after an interval of 14 to 21 days, when the flap is assured of its blood supply, the piers of the bridge are divided (Fig."
202,What is the name of the spokesman for the spokesman? <sep>,1).
203,What is it usually easy to bring the edges of the gap in the abdominal wall together? <sep> What appears rather thick and prominent like the pad of a boxing glove for some time? <sep> What is gratifying in the extreme? <sep>,"With undermining it is usually easy to bring the edges of the gap in the abdominal wall together, even in children; the skin flap on the dorsum of the hand appears rather thick and prominent almost like the pad of a boxing-glove for some time, but the restoration of function in the capacity to flex the fingers is gratifying in the extreme."
204,What is the second part of the body that can be transferred to a third part? <sep>,"The indirect element of this method of skin-grafting may be carried still further by transferring the flap of skin first to one part of the body and then, after it has taken, transferring it to a third part."
205,What is the main cause of deformities of the face developed by Gillies? <sep> What is the other cause of deformities of the face developed by Gillies? <sep> What is the other cause of deformities of the face developed by Gillies? <sep>,Gillies has especially developed this method in the remedying of deformities of the face caused by gunshot wounds and by petrol burns in air-men.
206,What is marked out in the neck and chest? <sep> What is the lower end of the tube brought up to? <sep>,"A rectangular flap of skin is marked out in the neck and chest, the lateral margins of the flap are raised sufficiently to enable them to be brought together so as to form a tube of skin: after the circulation has been restored, the lower end of the tube is detached and is brought up to the lip or cheek, or eyelid, where it is wanted; when this end has derived its new blood supply, the other end is detached from the neck and brought up to where it is wanted."
207,What can be brought up to form a new forehead and eyelids? <sep>,"In this way, skin from the chest may be brought up to form a new forehead and eyelids."
208,"What is used to cover defects in the lip, cheek, and conjunctiva? <sep>","Grafts of  mucous membrane  are used to cover defects in the lip, cheek, and conjunctiva."
209,What is the technique similar to? <sep> What is the source of mucous membrane? <sep> What is not always excluded? <sep>,The technique is similar to that employed in skin-grafting; the sources of mucous membrane are limited and the element of septic infection cannot always be excluded.
210,What is the name of the animal that is a part of the body? <sep>,Fat.
211,What is the low vitality of adipose tissue? <sep> What is the high vitality of adipose tissue? <sep> What is the low vitality of adipose tissue? <sep> What is the high vitality of adipose tissue? <sep>,"Adipose tissue has a low vitality, but it is easily retained and it readily lends itself to transplantation."
212,Where are fats often obtainable? <sep> Where is fat most readily available? <sep> What is fat used to fill cavities? <sep>,"Portions of fat are often obtainable at operations from the omentum, for example, otherwise the subcutaneous fat of the buttock is the most accessible; it may be employed to fill up cavities of all kinds in order to obtain more rapid and sounder healing and also to remedy deformity, as in filling up a depression in the cheek or forehead."
213,What is converted into ordinary connective tissue pari passu? <sep>,It is ultimately converted into ordinary connective tissue  pari passu  with the absorption of the fat.
214,What is the fascia lata of the thigh used for? <sep> What is interposed between the bones of a joint if the articular cartilage has been destroyed? <sep> What is used to fill defects in the dura mater? <sep>,"The  fascia lata of the thigh  is widely and successfully used as a graft to fill defects in the dura mater, and interposed between the bones of a joint if the articular cartilage has been destroyed to prevent the occurrence of ankylosis."
215,What is readily lendable for transplantation? <sep>,The  peritoneum  of hydrocele and hernial sacs and of the omentum readily lends itself to transplantation.
216,What are the two most commonly used for grafting purposes? <sep> What is the sphere of action of cartilage and bone? <sep> What is the method of re-forming the nose? <sep>,"Cartilage and bone , next to skin, are the tissues most frequently employed for grafting purposes; their sphere of action is so extensive and includes so much of technical detail in their employment, that they will be considered later with the surgery of the bones and joints and with the methods of re-forming the nose."
217,What two things are readily available for transplantation? <sep>,Tendons and blood vessels  readily lend themselves to transplantation and will also be referred to later.
218,What do muscle and nerve not retain when they are severed from their surroundings? <sep> What do connective-tissue elements do? <sep>,"Muscle and nerve , on the other hand, do not retain their vitality when severed from their surroundings and do not functionate as grafts except for their connective-tissue elements, which it goes without saying are more readily obtainable from other sources."
219,What part of the body has been successfully transplanted into the abdominal wall? <sep> What part of the body has been successfully transplanted into the subcutaneous cellular tissue of the abdominal wall? <sep>,Portions of the  ovary  and of the  thyreoid  have been successfully transplanted into the subcutaneous cellular tissue of the abdominal wall by Tuffier and others.
220,What is the ovary called? <sep> What is the thyreoid? <sep> What is replaced by connective tissue? <sep>,"In these new surroundings, the ovary or thyreoid is vascularised and has been shown to functionate, but there is not sufficient regeneration of the essential tissue elements to ""carry on""; the secreting tissue is gradually replaced by connective tissue and the special function comes to an end."
221,What may tide a patient over a difficult period? <sep>,"Even such temporary function may, however, tide a patient over a difficult period."
222,What is the purpose of removing extraneous influences? <sep> What is the purpose of removing extraneous influences? <sep>,"CHAPTER II CONDITIONS WHICH INTERFERE WITH REPAIR

In the management of wounds and other surgical conditions it is necessary to eliminate various extraneous influences which tend to delay or arrest the natural process of repair."
223,What is one of the most important? <sep>,"Of these, one of the most important is undue movement of the affected part."
224,What is the first and great requisite for the restoration of injured parts? <sep> What is the chief of natural therapeutic agents? <sep> What is the theme of John Hilton's classical work Rest and Pain? <sep>,"""The first and great requisite for the restoration of injured parts is  rest ,"" said John Hunter; and physiological and mechanical rest as the chief of natural therapeutic agents was the theme of John Hilton's classical work  Rest and Pain ."
225,"What must be avoided as far as possible? <sep> What must be understood about ""rest""? <sep>","In this connection it must be understood that ""rest"" implies more than the mere state of physical repose: all physiological as well as mechanical function must be prevented as far as is possible."
226,What must be controlled by splints or other appliances? <sep> What may be secured to an inflamed colon by making an artificial anus in the cacum? <sep> What may be diminished by regulating the quantity and quality of fluids taken by the patient? <sep>,"For instance, the constituent bones of a joint affected with tuberculosis must be controlled by splints or other appliances so that no movement can take place between them, and the limb may not be used for any purpose; physiological rest may be secured to an inflamed colon by making an artificial anus in the cacum; the activity of a diseased kidney may be diminished by regulating the quantity and quality of the fluids taken by the patient."
227,What is another source of interference with wound repair? <sep> What is another source of interference with wound repair? <sep> What is another source of interference with wound repair? <sep> What is another source of interference with wound repair? <sep>,"Another source of interference with repair in wounds is  irritation , either by mechanical agents such as rough, unsuitable dressings, bandages, or ill-fitting splints; or by chemical agents in the form of strong lotions or other applications."
228,What hinders the reparative process? <sep>,An  unhealthy or devitalised condition of the patient's tissues  also hinders the reparative process.
229,What is the most common cause of bruising or lacerated skin? <sep> What is the most common cause of venous congestion? <sep> What is the most common cause of venous congestion? <sep> What is the most common cause of venous congestion? <sep>,"Bruised or lacerated skin heals less kindly than skin cut with a smooth, sharp instrument; and persistent venous congestion of a part, such as occurs, for example, in the leg when the veins are varicose, by preventing the access of healthy blood, tends to delay the healing of open wounds."
230,What impedes healing? <sep> What is Bright's disease? <sep> What is scurvy? <sep> What is diabetes? <sep>,"The existence of grave constitutional disease, such as Bright's disease, diabetes, syphilis, scurvy, or alcoholism, also impedes healing."
231,What is the most potent factor in disturbing the natural process of repair in wounds? <sep> What is the most potent factor in disturbing the natural process of repair in wounds? <sep>,"Infection by disease-producing micro-organisms or  pathogenic bacteria  is, however, the most potent factor in disturbing the natural process of repair in wounds."
232,What is the science of applied bacteriology now dominated every department of surgery? <sep> What is the standpoint of bacteriology that nearly all surgical questions have to be considered? <sep>,"SURGICAL BACTERIOLOGY The influence of micro-organisms in the causation of disease, and the rôle played by them in interfering with the natural process of repair, are so important that the science of applied bacteriology has now come to dominate every department of surgery, and it is from the standpoint of bacteriology that nearly all surgical questions have to be considered."
233,What is the term sepsis now used in clinical surgery? <sep> What is the term sepsis now used to denote? <sep> What is the term sepsis now used to denote? <sep> What is the term sepsis now used to denote? <sep>,"The term  sepsis  as now used in clinical surgery no longer retains its original meaning as synonymous with ""putrefaction,"" but is employed to denote all conditions in which bacterial infection has taken place, and more particularly those in which pyogenic bacteria are present."
234,What term conveys the idea of freedom from all forms of bacteria? <sep> What term is used to denote a power of counteracting bacteria and their products? <sep>,"In the same way the term  aseptic  conveys the idea of freedom from all forms of bacteria, putrefactive or otherwise; and the term  antiseptic  is used to denote a power of counteracting bacteria and their products."
235,What are the general characteristics of Bacteria? <sep>,General Characters of Bacteria.
236,What is the bacterium composed of? <sep> What is the bacterium enclosed in? <sep> What is the bacterium? <sep>,"A  bacterium  consists of a finely granular mass of protoplasm, enclosed in a thin gelatinous envelope."
237,What is the reason for many forms being motile? <sep> What is another reason for many forms being motile? <sep> What is another reason for many forms being motile? <sep>,"Many forms are motile some in virtue of fine thread-like flagella, and others through contractility of the protoplasm."
238,How do the great majority of cells multiply? <sep> How do the cells multiply? <sep> How do the cells multiply? <sep> How do the cells multiply? <sep>,"The great majority multiply by simple fission, each parent cell giving rise to two daughter cells, and this process goes on with extraordinary rapidity."
239,What is another way to propagate bacilli? <sep>,"Other varieties, particularly bacilli, are propagated by the formation of  spores ."
240,What is a spore? <sep> What is a spore? <sep> Where is a spore developed? <sep>,"A spore is a minute mass of protoplasm surrounded by a dense, tough membrane, developed in the interior of the parent cell."
241,What are Spores remarkable for? <sep> What do Spores offer resistance to? <sep> What do Spores resist the action of? <sep>,"Spores are remarkable for their tenacity of life, and for the resistance they offer to the action of heat and chemical germicides."
242,What is the most convenient way to classify bacteria? <sep>,Bacteria are most conveniently classified according to their shape.
243,What are the globular cocci? <sep> What are the wavy forms of spirilla? <sep>,Thus we recognise (1) those that are globular  cocci ; (2) those that resemble a rod  bacilli ; (3) the spiral or wavy forms  spirilla .
244,What are micrococci? <sep> What are cocci? <sep> What are micrococci? <sep> What are micrococci? <sep>,"Cocci  or  micrococci  are minute round bodies, averaging about 1 µ in diameter."
245,What is the majority of non-motile animals? <sep>,The great majority are non-motile.
246,What is the name of the bacteria that multiply by fission? <sep> What is the name of the bacteria that divide in such a way that the cells remain in pairs? <sep> What are two examples of diplococci? <sep>,"They multiply by fission; and when they divide in such a way that the resulting cells remain in pairs, are called  diplococci , of which the bacteria of gonorrhœa and pneumonia are examples (Fig."
247,What is the name of the systme that is used to determine the number of people in the room? <sep>,5).
248,What are staphylococci called when they divide irregularly? <sep> What are staphylococci called when they divide irregularly? <sep> What are staphylococci called when they divide irregularly? <sep> What are staphylococci called when they divide irregularly? <sep> What are staphylococci called when they divide irregularly? <sep>,"When they divide irregularly, and form grape-like bunches, they are known as  staphylococci , and to this variety the commonest pyogenic or pus-forming organisms belong (Fig."
249,What is the name of the spokesman for the spokesman? <sep>,2).
250,What term is used when division takes place only in one axis? <sep> What is the term for a chain formed when division takes place only in one axis? <sep>,"When division takes place only in one axis, so that long chains are formed, the term  streptococcus  is applied (Fig."
251,How many people are in the house? <sep>,3).
252,Streptococci are met with in what? <sep>,Streptococci are met with in erysipelas and various other inflammatory and suppurative processes of a spreading character.
253,What are rod-shaped bacteria? <sep> What are rod-shaped bacteria? <sep> What are rod-shaped bacteria? <sep>,"Bacilli  are rod-shaped bacteria, usually at least twice as long as they are broad (Fig."
254,How many people are in the house? <sep>,4).
255,What do some multiply by? <sep> What do some multiply by? <sep>,"Some multiply by fission, others by sporulation."
256,What are some forms of a plant called? <sep> What are some forms of a plant called? <sep>,"Some forms are motile, others are non-motile."
257,What are some surgical diseases caused by different forms of bacilli? <sep>,"Tuberculosis, tetanus, anthrax, and many other surgical diseases are due to different forms of bacilli."
258,What are the cells called that are slender and are spiral or wavy? <sep>,"Spirilla  are long, slender, thread-like cells, more or less spiral or wavy."
259,What is the contraction of the protoplasm called? <sep> What is the contraction of the flagella called? <sep>,"Some move by a screw-like contraction of the protoplasm, some by flagella."
260,What is the spirochate associated with? <sep>,The spirochate associated with syphilis (Fig.
261,What is the most important member of the group? <sep>,36) is the most important member of this group.
262,What is the name of the organism that is able to survive in the environment? <sep>,Conditions of Bacterial Life.
263,What do bacteria need for their growth and development? <sep> What do bacteria need for their growth and development? <sep> What do bacteria break up into simpler elements? <sep>,"Bacteria require for their growth and development a suitable food-supply in the form of proteins, carbohydrates, and salts of calcium and potassium which they break up into simpler elements."
264,What medium favors bacterial growth? <sep> What is a necessary condition for bacteria to grow? <sep> What can spores survive without water for longer periods than fully developed bacteria? <sep>,"An alkaline medium favours bacterial growth; and moisture is a necessary condition; spores, however, can survive the want of water for much longer periods than fully developed bacteria."
265,What is the need for oxygen in different species? <sep>,The necessity for oxygen varies in different species.
266,What are arobic bacilli? <sep> What are arobes? <sep> What are arobes? <sep> What are arobes? <sep>,Those that require oxygen are known as  aërobic bacilli  or  aërobes ; those that cannot live in the presence of oxygen are spoken of as  anaërobes .
267,What are facultative anarobes? <sep> What do bacteria prefer to have? <sep>,"The great majority of bacteria, however, while they prefer to have oxygen, are able to live without it, and are called  facultative anaërobes ."
268,What is the most suitable temperature for bacteria? <sep> What is the most suitable temperature for bacteria? <sep>,"The most suitable temperature for bacterial life is from 95° to 102° F., roughly that of the human body."
269,What paralyzes but does not kill micro-organisms? <sep> What does extreme cold do? <sep>,Extreme or prolonged cold paralyses but does not kill micro-organisms.
270,What temperature do bacteria survive being raised to? <sep> How long will boiling for kill bacteria? <sep> What will kill bacteria? <sep>,"Few, however, survive being raised to a temperature of 134½° F. Boiling for ten to twenty minutes will kill all bacteria, and the great majority of spores."
271,How many atmospheres are needed to destroy even the most resistant spores? <sep>,Steam applied in an autoclave under a pressure of two atmospheres destroys even the most resistant spores in a few minutes.
272,What is inimical to the growth of bacteria? <sep> What is inimical to the growth of bacteria? <sep>,"Direct sunlight, electric light, or even diffuse daylight, is inimical to the growth of bacteria, as are also Röntgen rays and radium emanations."
273,What are the Pathogenic Properties of Bacteria? <sep>,Pathogenic Properties of Bacteria.
274,What is the term for bacteria capable of producing disease in the human subject? <sep>,"We are now only concerned with pathogenic bacteria that is, bacteria capable of producing disease in the human subject."
275,What are the two sets of factors that determine the capacity of bacteria? <sep> What are the two sets of factors that determine the capacity of bacteria? <sep> What are the two sets of factors that determine the capacity of bacteria? <sep>,"This capacity depends upon two sets of factors (1) certain features peculiar to the invading bacteria, and (2) others peculiar to the host."
276,What are many bacteria known as? <sep> What are saphrophytes? <sep>,"Many bacteria have only the power of living upon dead matter, and are known as  saphrophytes ."
277,What are parasites? <sep>,"Such as do nourish in living tissue are, by distinction, known as  parasites ."
