question|answer
describe: Choroiditis|Choroiditis  and  retinitis  may also occur, and leave permanent changes easily recognised on examination with the ophthalmoscope.Among the rarer and more serious lesions of the inherited disease may be mentioned gummatous disease in the  larynx and trachea , attended with ulceration and resulting in stenosis; and lesions of the  nervous system  which may result in convulsions, paralysis, or dementia.In a limited number of cases, about the period of puberty there may develop  deafness , which is usually bilateral and may become absolute.Changes in the Permanent Teeth.These affect specially the upper central incisors, which are dwarfed and stand somewhat apart in the gum, with their free edges converging towards one another.They are tapering or peg-shaped, and present at their cutting margin a deep semilunar notch.
describe: condylomata|It is readily found in the mucous patches and condylomata of the secondary period.It is best stained by Giemsa's method, and its recognition is greatly aided by the use of the ultra-microscope.The spirochate has been demonstrated in every form of syphilitic lesion, and has been isolated from the blood with difficulty and from lymph withdrawn by a hollow needle from enlarged lymph glands.The saliva of persons suffering from syphilitic lesions of the mouth also contains the organism.In tertiary lesions there is greater difficulty in demonstrating the spirochate, but small numbers have been found in the peripheral parts of gummata and in the thickened patches in syphilitic disease of the aorta.Noguchi and Moore have discovered the spirochate in the brain in a number of cases of general paralysis of the insane.The primary lesion may take the form of condylomata.Indurated œdema, with brownish-red or livid discoloration of one or both labia, is diagnostic of syphilis.The hard chancre is usually solitary, but sometimes there are two or more; when there are several, they are individually smaller than the solitary chancre.It is the exception for a hard chancre to leave a visible scar, hence, in examining patients with a doubtful history of syphilis, little reliance can be placed on the presence or absence of a scar on the genitals.When the primary lesion has taken the form of an open ulcer with purulent discharge, or has sloughed, there is a permanent scar.Infection of the adjacent lymph glands  is usually found to have taken place by the time the primary lesion has acquired its characteristic induration.
describe: choroiditis|"While a considerable number of syphilitic children grow up without showing any trace of their syphilitic inheritance, the majority retain throughout life one or more of the following characteristics, which may therefore be described as  permanent signs of the inherited disease : Dwarfing of stature from interference with growth at the epiphysial junctions; the forehead low and vertical, and the parietal and frontal eminences unduly prominent; the bridge of the nose sunken and rounded; radiating scars at the angles of the mouth; perforation or destruction of the hard palate; Hutchinson's teeth; opacities of the cornea from antecedent keratitis; alterations in the fundus oculi from choroiditis; deafness; depressed scars or nodes on the bones from previous gummata; ""sabre-blade"" or other deformity of the tibia.The Contagiousness of Inherited Syphilis.In 1837, Colles of Dublin stated his belief that, while a syphilitic infant may convey the disease to a healthy wet nurse, it is incapable of infecting its own mother if nursed by her, even although she may never have shown symptoms of the disease.This doctrine, which is known as  Colles' law , is generally accepted in spite of the alleged occurrence of occasional exceptions.The older the child, the less risk there is of its communicating the disease to others, until eventually the tendency dies out altogether, as it does in the tertiary period of acquired syphilis.It should be added, however, that the contagiousness of inherited syphilis is denied by some observers, who affirm that, when syphilitic infants prove infective, the disease has been really acquired at or soon after birth."
describe: Colles of Dublin|In 1837, Colles of Dublin stated his belief that, while a syphilitic infant may convey the disease to a healthy wet nurse, it is incapable of infecting its own mother if nursed by her, even although she may never have shown symptoms of the disease.This doctrine, which is known as  Colles' law , is generally accepted in spite of the alleged occurrence of occasional exceptions.The older the child, the less risk there is of its communicating the disease to others, until eventually the tendency dies out altogether, as it does in the tertiary period of acquired syphilis.It should be added, however, that the contagiousness of inherited syphilis is denied by some observers, who affirm that, when syphilitic infants prove infective, the disease has been really acquired at or soon after birth.There is general agreement that the subjects of inherited syphilis cannot transmit the disease by inheritance to their offspring, and that, although they very rarely acquire the disease  de novo , it is possible for them to do so.Prognosis of Inherited Syphilis.
describe: Endothelioma|CLASSIFICATION OF TUMOURS: I. Connective-tissue tumours:     (1)  Innocent :  Lipoma ,  Xanthoma ,  Chondroma ,  Osteoma ,      Odontoma ,  Fibroma ,  Myxoma ,  Endothelioma , etc.; (2)      Malignant :  Sarcoma  II.Epithelial tumours: (1)  Innocent :      Papilloma ,  Adenoma ,  Cystic Adenoma ; (2)  Malignant :      Epithelioma ,  Glandular Cancer ,  Rodent Cancer ,  Melanotic     Cancer  III.Dermoids IV.Teratoma.Cysts:  Retention ,      Exudation ,  Implantation ,  Parasitic ,  Lymphatic or Serous .Endotheliomas  take origin from the endothelium of lymph vessels and blood vessels, and serous cavities.They show great variation in type, partly because of the number of different kinds of endothelium from which they are derived, and partly because the new connective tissue which is formed is liable to undergo transformation into other tissues.They may be soft or hard, solid or cystic, diffuse or circumscribed; they grow very slowly, and are almost always innocent, although recurrence has been occasionally observed.Cases of multiple endotheliomata of the skin have recently been described by Wise.Angioma ,  lymphangioma , and  neuroma  are described with the disease of the individual tissues.MALIGNANT CONNECTIVE-TISSUE TUMOURS SARCOMA The term sarcoma is applied to any connective-tissue tumour which exhibits malignant characters.
describe: Cystic Adenoma|Epithelial tumours: (1)  Innocent :      Papilloma ,  Adenoma ,  Cystic Adenoma ; (2)  Malignant :      Epithelioma ,  Glandular Cancer ,  Rodent Cancer ,  Melanotic     Cancer  III.Dermoids IV.Teratoma.Cysts:  Retention ,      Exudation ,  Implantation ,  Parasitic ,  Lymphatic or Serous .Ganglion.For the histology of tumours the reader is referred to a text-book of pathology.
describe: Glandular Cancer|Epithelial tumours: (1)  Innocent :      Papilloma ,  Adenoma ,  Cystic Adenoma ; (2)  Malignant :      Epithelioma ,  Glandular Cancer ,  Rodent Cancer ,  Melanotic     Cancer  III.Dermoids IV.Teratoma.Cysts:  Retention ,      Exudation ,  Implantation ,  Parasitic ,  Lymphatic or Serous .Ganglion.For the histology of tumours the reader is referred to a text-book of pathology.
describe: Bland Sutton|An odontoma is composed of dental tissues in varying proportions and different degrees of development, arising from tooth-germs or from teeth still in process of growth (Bland Sutton).Odontomas resemble teeth in so far that during their development they remain hidden below the mucous membrane and give no evidence of their existence.There then succeeds, usually between the twentieth and twenty-fifth years, an eruptive stage, which is often attended with suppuration, and this may be the means of drawing attention to the tumour.Following Bland Sutton, several varieties of odontoma may be distinguished according to the part of the tooth-germ concerned in their formation.The  epithelial odontoma  is derived from persistent portions of the epithelium of the enamel organ, and constitutes a multilocular cystic tumour which is chiefly met with in the mandible.The cystic spaces of the tumour contain a brownish glairy fluid.Following Bland Sutton, several varieties of odontoma may be distinguished according to the part of the tooth-germ concerned in their formation.The  epithelial odontoma  is derived from persistent portions of the epithelium of the enamel organ, and constitutes a multilocular cystic tumour which is chiefly met with in the mandible.The cystic spaces of the tumour contain a brownish glairy fluid.These tumours have been described by Eve under the name of multilocular cystic epithelial tumours of the jaw.The  follicular odontoma , also known as a  dentigerous cyst , is derived from the distension of a tooth follicle.It constitutes a cyst containing a viscid fluid, and an imperfectly formed tooth is often found embedded in its wall.
describe: Fibromatosis|"Diffuse fibroma  or  Fibromatosis , analogous to lipomatosis, is met with in the connective tissue of the skin and sheaths of nerves, and constitutes one form of neuro-fibromatosis; a similar change is also met with in the stomach and colon.Myxoma.A myxoma is composed of tissue of a soft gelatinous, semifluid consistence.The pure myxoma is extremely rare, and clinically resembles the lipoma.Myxomatous tissue is, however, frequently found in other connective-tissue tumours as a result of degeneration, for example, in cartilaginous tumours and in sarcomas.Myxomatous tissue is also a prominent constituent of the ""innocent parotid tumour.""Diffuse or Generalised Neuro-Fibromatosis Recklinghausen's Disease.These terms are now used to include what were formerly known as ""multiple neuromata,"" as well as certain other overgrowths related to nerves.The essential lesion is an overgrowth of the endoneural connective tissue throughout the nerves of both the cerebro-spinal and sympathetic systems.The nerves are diffusely and unequally thickened, so that small twigs may become enlarged to the size of the median, while at irregular intervals along their course the connective-tissue overgrowth is exaggerated so as to form tumour-like swellings similar to the trunk-neuroma already described.The tumours, which vary greatly in size and number as many as a thousand have been counted in one case are enclosed in a capsule derived from the perineurium.The fibromatosis may also affect the cranial nerves, the ganglia on the posterior nerve roots, the nerves within the vertebral canal, and the sympathetic nerves and ganglia, as well as the continuations of the motor nerves within the muscles."
describe: semifluid consistence|"A myxoma is composed of tissue of a soft gelatinous, semifluid consistence.The pure myxoma is extremely rare, and clinically resembles the lipoma.Myxomatous tissue is, however, frequently found in other connective-tissue tumours as a result of degeneration, for example, in cartilaginous tumours and in sarcomas.Myxomatous tissue is also a prominent constituent of the ""innocent parotid tumour.""Mucous polypus of the nose, which is often described as a myxoma, is merely a pendulous process of œdematous mucous membrane.Myeloma."
describe: Rhabdomyoma|The  Rhabdomyoma  is an extremely rare form of tumour, met with in the kidney, uterus, and testicle.It contains striped muscle fibres, and is supposed to originate from a residue of muscular tissue which has become sequestrated during development.Glioma.A glioma is a tumour composed of neuroglia.It is met with exclusively in the central nervous system, retina, and optic nerve.It is a slowly growing, soft, ill-defined tumour, which displaces the adjacent nerve centres and nerve tracts, and is liable to become the seat of hamorrhage and thus to give rise to pressure symptoms resembling apoplexy.
describe: Endotheliomas|Endotheliomas  take origin from the endothelium of lymph vessels and blood vessels, and serous cavities.They show great variation in type, partly because of the number of different kinds of endothelium from which they are derived, and partly because the new connective tissue which is formed is liable to undergo transformation into other tissues.They may be soft or hard, solid or cystic, diffuse or circumscribed; they grow very slowly, and are almost always innocent, although recurrence has been occasionally observed.Cases of multiple endotheliomata of the skin have recently been described by Wise.Angioma ,  lymphangioma , and  neuroma  are described with the disease of the individual tissues.MALIGNANT CONNECTIVE-TISSUE TUMOURS SARCOMA The term sarcoma is applied to any connective-tissue tumour which exhibits malignant characters.
describe: The Contagiousness of Cancer|The Contagiousness of Cancer.A limited number of cases are on record in which a cancer appears to have been transferred by contact, as from the lower to the upper lip, from one labium majus to the other, from the tongue to the cheek, and from one vocal cord to the other; these being all examples of cancer involving surfaces which are constantly or frequently in contact.The transference of cancer from one human being to another, whether by accident, as in the case of a surgeon wounding his finger while operating for cancer, or by the deliberate introduction of a portion of cancerous tumour into the tissues, has never been known to occur.It is by no means infrequent, however, that when recurrence takes place after an operation for the removal of cancer, the recurrent nodules make their appearance in the main scar or in the scars of stitches in its neighbourhood.In the lower animals the grafting of cancer only succeeds in animals of the same species; for example, a cancer taken from a mouse will not grow in the tissues of a rat, but only in a mouse of the same variety as that from which the graft was taken.While cancer cannot be regarded as either contagious or infectious, it is important to bear in mind the possibility of infection of a wound with cancer when operating for the disease.
describe: Implantati|Cysts:  Retention ,      Exudation ,  Implantation ,  Parasitic ,  Lymphatic or Serous .Ganglion.For the histology of tumours the reader is referred to a text-book of pathology.A tumour or neoplasm is a localised swelling composed of newly formed tissue which fulfils no physiological function.Tumours increase in size quite independently of the growth of the body, and there is no natural termination to their growth.They are to be distinguished from such over-growths as are of the nature of simple hypertrophy or local giantism, and also from inflammatory swellings, which usually develop under the influence of a definite cause, have a natural termination, and tend to disappear when the cause ceases to act.Implantation cysts  are caused by the accidental transference of portions of the epidermis into the underlying connective tissue, as may occur in wounds by needles, awls, forks, or thorns.The implanted epidermis proliferates and forms a small cyst.They are met with chiefly on the palmar aspect of the fingers, and vary in size from a split pea to a cherry.The treatment consists in removing them by dissection.Parasitic cysts  are produced by the growth within the tissues of cyst-forming parasites, the best known being the tania echinococcus, which gives rise to the  hydatid cyst .The liver is by far the most common site of hydatid cysts in the human subject.
describe: Ganglionic|Ganglionic cysts are met with in other situations than those mentioned, but they are so rare as not to require separate description.Ganglia are to be diagnosed by their situation and physical characters; enlarged bursa, synovial cysts, and new-growths are the swellings most likely to be mistaken for them.The diagnosis is sometimes only cleared up by withdrawing the clear, jelly-like contents through a hollow needle.Pathological Anatomy.The wall of the cyst is composed of fibrous tissue closely adherent to or fused with the surrounding tissues, so that it cannot be shelled out.There is no endothelial lining, and the fibrous tissue of the wall is in immediate contact with the colloid material in the interior, which appears to be derived by a process of degeneration from the surrounding connective tissue.
describe: Lacerated Wounds|Contused and Lacerated Wounds.These may be considered together, as they so occur in practice.They are produced by crushing, biting, or tearing forms of violence such as result from machinery accidents, firearms, or the bites of animals.In addition to the irregular wound of the integument, there is always more or less bruising of the parts beneath and around, and the subcutaneous lesions are much wider than appears on the surface.Wounds of this variety usually gape considerably, especially when there is much laceration of the skin.It is not uncommon to have considerable portions of skin, muscle, or tendon completely torn away.
describe: Cicatricial|Formation of Cicatricial Tissue.The transformation of this temporary granulation tissue into scar tissue is effected by the fibroblasts, which become elongated and spindle-shaped, and produce in and around them a fine fibrillated material which gradually increases in quantity till it replaces the cell protoplasm.In this way white fibrous tissue is formed, the cells of which are arranged in parallel lines and eventually become grouped in bundles, constituting fully formed white fibrous tissue.In its growth it gradually obliterates the capillaries, until at the end of two, three, or four weeks both vessels and cells have almost entirely disappeared, and the original wound is occupied by cicatricial tissue.In course of time this tissue becomes consolidated, and the cicatrix undergoes a certain amount of contraction  cicatricial contraction .Healing of Epidermis.(5) Cicatricial contraction.(6) Gangrene, which may follow occlusion of main vessels, or virulent infective processes.(7) It is not uncommon to have particles of carbon embedded in the tissues after lacerated wounds, leaving unsightly, pigmented scars.This is often seen in coal-miners, and in those injured by firearms, and is to be prevented by removing all gross dirt from the edges of the wound.Treatment.In severe wounds of this class implicating the extremities, the most important question that arises is whether or not the limb can be saved.
describe: Rifle Bullets|Wounds by Rifle Bullets.The vast majority of wounds inflicted by rifle bullets are met with in the field during active warfare, and fall to be treated by military surgeons.They occasionally occur accidentally, however, during range practice for example, and may then come under the notice of the civil surgeon.It is only necessary here to consider the effects of modern small-bore rifle or machine-gun bullets.The trajectory is practically flat up to 675 yards.In destructive effect there is not much difference between the various high velocity bullets used in different armies; they will kill up to a distance of two miles.
describe: hypodermically|"A full dose of morphin is given hypodermically.The ampoule of iodine carried by the wounded man is broken, and its contents are poured over and around the wound, after which the field dressing is applied.In extensive wounds, the ""shell-dressing"" carried by the stretcher bearers is preferred.All bandages are applied loosely to allow for subsequent swelling.The fragments of fractured bones are immobilised by some form of emergency splint.2.In some cases hyoscin (1/200 grain) injected hypodermically is found efficacious when all other means have failed, but this drug must be used with great discrimination.The patient must be encouraged to take plenty of easily digested fluid food, supplemented, if necessary, by nutrient enemata and saline infusions.In the early stage a brisk mercurial purge is often of value.Alcohol should be withheld, unless failing of the pulse strongly indicates its use, and then it should be given along with the food.A delirious patient must be constantly watched by a trained attendant or other competent person, lest he get out of bed and do harm to himself or others.Mechanical restraint is often necessary, but must be avoided if possible, as it is apt to increase the excitement and exhaust the patient."
describe: the Field Ambulance or|In the Field Ambulance or Casualty Clearing Station  further measures are employed for the relief of shock, and urgent operations are performed, such as amputation for gangrene, tracheotomy for dyspnœa, or laparotomy for perforated or lacerated intestine.In the majority of cases the main object is to guard against infection; the skin is disinfected over a wide area and surrounded with towels; damaged tissue, especially muscle, is removed with the knife or scissors, and foreign bodies are extracted.Torn blood vessels, and, if possible, nerves and tendons are repaired.The wound is then partly closed, provision being made for free drainage, or some special method of irrigation, such as that of Carrel, is adopted.Sometimes the wound is treated with bismuth, iodoform, and paraffin paste (B.I.P.P.)and sutured.
describe: the Base Hospital|In the Base Hospital or Hospital Ship  various measures may be called for according to the progress of the wound and the condition of the patient.Shell Wounds and Wounds produced by Explosions.It is convenient to consider together the effects of the bursting of shells fired from heavy ordnance and those resulting in the course of blasting operations from the discharge of dynamite or other explosives, or from the bursting of steam boilers or pipes, the breaking of machinery, and similar accidents met with in civil practice.Wounds inflicted by shell fragments and shrapnel bullets tend to be extensive in area, and show great contusion, laceration, and destruction of the tissues.The missiles frequently lodge and carry portions of the clothing and, it may be, articles from the man's pocket, with them.Shell wounds are attended with a considerable degree of shock.
describe: Burns of Second Degree Vesication of the Skin|Burns of Second Degree Vesication of the Skin.These are characterised by the occurrence of vesicles or blisters which are scattered over the hyperamic area, and contain a clear yellowish or brownish fluid.On removing the raised epidermis, the congested and highly sensitive papilla of the skin are exposed.Unna has found that pyogenic bacteria are invariably present in these blisters.Burns of the second degree leave no scar but frequently a persistent discoloration.In rare instances the burned area becomes the seat of a peculiar overgrowth of fibrous tissue of the nature of keloid (p 401).
describe: Burns of Third Degree Partial Destruction of the Skin|Burns of Third Degree Partial Destruction of the Skin.The epidermis and papilla are destroyed in patches, leaving hard, dry, and insensitive sloughs of a yellow or black colour.The pain in these burns is intense, but passes off during the first or second day, to return again, however, when, about the end of a week, the sloughs separate and expose the nerve filaments of the underlying skin.Granulations spring up to fill the gap, and are rapidly covered by epithelium, derived partly from the margins and partly from the remains of skin glands which have not been completely destroyed.These latter appear on the surface of the granulations as small bluish islets which gradually increase in size, become of a greyish-white colour, and ultimately blend with one another and with the edges.The resulting cicatrix may be slightly depressed, but otherwise exhibits little tendency to contract and cause deformity.
describe: X-Rays and Radium|INJURIES PRODUCED BY ELECTRICITY  Injuries produced by Exposure to X-Rays and Radium.In the routine treatment of disease by radiations, injury is sometimes done to the tissues, even when the greatest care is exercised as to dosage and frequency of application.Robert Knox describes the following ill-effects.Acute dermatitis  varying in degree from a slight erythema to deep ulceration or even necrosis of skin.When ulcers form they are extremely painful and slow to heal.When hair-bearing areas are affected, epilation may occur without destroying the hair follicles and the hairs are reproduced, but if the reaction is excessive permanent alopecia may result.
describe: The Antiseptic System of Surgery|"The Antiseptic System of Surgery.Those who only know the surgical conditions of to-day can scarcely realise the state of matters which existed before the introduction of the antiseptic system by Joseph Lister in 1867.In those days few wounds escaped the ravages of pyogenic and other bacteria, with the result that suppuration ensued after most operations, and such diseases as erysipelas, pyamia, and ""hospital gangrene"" were of everyday occurrence.The mortality after compound fractures, amputations, and many other operations was appalling, and death from blood-poisoning frequently followed even the most trivial operations.An operation was looked upon as a last resource, and the inherent risk from blood-poisoning seemed to have set an impassable barrier to the further progress of surgery.To the genius of Lister we owe it that this barrier was removed."
describe: Chemical Agents|Gangrene from Heat, Chemical Agents, and Cold.Severe  burns  and  scalds  may be followed by necrosis of tissue.So long as the parts are kept absolutely dry as, for example, by the picric acid method of treatment the grossly damaged portions of tissue undergo dry gangrene; but when wet or oily dressings are applied and organisms gain access, moist gangrene follows.Strong  chemical agents , such as caustic potash, nitric or sulphuric acid, may also induce local tissue necrosis, the general appearances of the lesions produced being like those of severe burns.The resulting sloughs are slow to separate, and leave deep punched-out cavities which are long of healing.Carbolic Gangrene.Sterilisation by Chemical Agents.For the purification of the skin of the patient, the hands of the surgeon, and knives and other instruments that are damaged by heat, recourse must be had to chemical agents.These, however, are less reliable than heat, and are open to certain other objections.Disinfection of the Hands.It is now generally recognised that one of the most likely sources of wound infection is the hands of the surgeon and his assistants.It is only by carefully studying to avoid all contact with infective matter that the hands can be kept surgically pure, and that this source of wound infection can be reduced to a minimum.
describe: Moschcowitz|Moschcowitz has found that the tensile strength of catgut so prepared is increased if it is kept dry in a sterile vessel, instead of being left indefinitely in the iodine solution.If Salkindsohn's formula is used tincture of iodine, 1 part; proof spirit, 15 parts the gut can be kept permanently in the solution without becoming brittle.To avoid contamination from the hands, catgut should be removed from the bottle with aseptic forceps and passed direct to the surgeon.Any portion unused should be thrown away.Silk  is prepared by being soaked for twelve hours in ether, for other twelve in alcohol, and then boiled for ten minutes in 1 in 1000 sublimate solution.It is then wound on spools with purified hands protected by sterilised gloves, and kept in absolute alcohol.
describe: Prevention of Operation Shock|"Prevention of Operation Shock.In the preparation of a patient for operation, drastic purgation and prolonged fasting must be avoided, and about half an hour before a severe operation a pint of saline solution should be slowly introduced into the rectum; this is repeated, if necessary, during the operation, and at its conclusion.The operating-room must be warm not less than 70° F. and the patient should be wrapped in cotton wool and blankets, and surrounded by hot-bottles.All lotions used must be warm (100° F.); and the operation should be completed as speedily and as bloodlessly as possible.The element of fear may to some extent be eliminated by the preliminary administration of such drugs as scopolamin or morphin, and with a view to preventing the passage of exciting afferent impulses, Crile advocates ""blocking"" of the nerves by the injection of a 1 per cent.solution of novocaine into their substance on the proximal side of the field of operation."
describe: DELIRIUM IN SURGICAL PATIENTS Delirium|DELIRIUM IN SURGICAL PATIENTS Delirium is a temporary disturbance of mind which occurs in the course of certain diseases, and sometimes after injuries or operations.It may be associated with any of the acute pyogenic infections; with erysipelas, especially when it affects the head or face; or with chronic infective diseases of the urinary organs.In the various forms of meningitis also, and in some cases of injury to the head, it is common; and it is sometimes met with after severe hamorrhage, and in cases of poisoning by such drugs as iodoform, cocain, or alcohol.Delirium may also, of course, be a symptom of insanity.Often there is merely incoherent muttering regarding past incidents or occupations, or about absent friends; or the condition may assume the form of excitement, of dementia, or of melancholia; and the symptoms are usually worst at night.Delirium Tremens  is seen in persons addicted to alcohol, who, as the result of accident or operation, are suddenly compelled to lie in bed.
describe: Entrance of Air into Veins Air Embolism|Entrance of Air into Veins Air Embolism.This serious, though fortunately rare, accident is apt to occur in the course of operations in the region of the thorax, neck, or axilla, if a large vein is opened and fails to collapse on account of the rigidity of its walls, its incorporation in a dense fascia, or from traction being made upon it.If the wound in a vein is thus held open, the negative pressure during inspiration sucks air into the right side of the heart.This is accompanied by a hissing or gurgling sound, and with the next expiration some frothy blood escapes from the wound.The patient instantly becomes pale, the pupils dilate, respiration becomes laboured, and although the heart may continue to beat forcibly, the peripheral pulse is weak, and may even be imperceptible.On auscultating the heart, a churning sound may be heard.
describe: the tunica externa retract|(b) If an artery is only  partly cut across , the divided fibres of the tunica muscularis contract and those of the tunica externa retract, with the result that a more or less circular hole is formed in the wall of the vessel, from which free bleeding takes place, as the conditions are unfavourable for the formation of an occluding clot.Even if a clot does form, when the blood-pressure rises it is readily displaced, leading to reactionary hamorrhage.Should the wound become infected, secondary hamorrhage is specially liable to occur.A further risk attends this form of injury, in that the intra-vascular tension may in time lead to gradual stretching of the scar tissue which closes the gap in the vessel wall, with the result that a localised dilatation or diverticulum forms, constituting a  traumatic aneurysm .(c) When the injury merely takes the form of a  puncture  or  small incision  a blood-clot forms between the edges, becomes organised, and is converted into cicatricial tissue which seals the aperture.Such wounds may also be followed by reactionary or secondary hamorrhage, or later by the formation of a traumatic aneurysm.
describe: Continuity|Repair of a Vessel ligated in its Continuity.When a ligature is applied to an artery it should be pulled sufficiently tight to occlude the lumen without causing rupture of its coats.It often happens, however, that the compression causes rupture of the inner and middle coats, so that only the outer coat remains in the grasp of the ligature.While this weakens the wall of the vessel, it has the advantage of hastening coagulation, by bringing the blood into contact with damaged tissue.Whether the inner and middle coats are ruptured or not, blood coagulates both above and below the ligature, the proximal clot being longer and broader than that on the distal side.In small arteries these clots extend as far as the nearest collateral branch, but in the larger trunks their length varies.
describe: Repair of Veins|Repair of Veins.The process of repair in veins is the same as that in arteries, but the thrombosed area may become canalised and the circulation through the vessel be re-established.HAMORRHAGE IN SURGICAL OPERATIONS The management of the hamorrhage which accompanies an operation includes (a) preventive measures, and (b) the arrest of the bleeding.Prevention of Hamorrhage.Whenever possible, hamorrhage should be controlled by  digital compression  of the main artery supplying the limb rather than by a tourniquet.If efficiently applied compression reduces the immediate loss of blood to a minimum, and the bleeding from small vessels that follows the removal of the tourniquet is avoided.
describe: Hamostatics|Hamostatics  or  Styptics .The local application of hamostatics is seldom to be recommended.In the treatment of epistaxis or bleeding from the nose, of hamorrhage from the socket of a tooth, and sometimes from ulcerating or granulating surfaces, however, they may be useful.All clots must be removed and the drug applied directly to the bleeding surface.Adrenalin and turpentine are the most useful drugs for this purpose.Hamorrhage from bone, for example the skull, may be arrested by means of Horsley's aseptic plastic wax.
describe: hamatemesis|In severe cases, and especially when the vomited matter resembles coffee-grounds from admixture with altered blood the so-called post-operative hamatemesis the best means of arresting the vomiting is by washing out the stomach.Thirst is relieved by rectal injections of saline solution.The introduction of saline solution into the veins or by the rectum is also useful in diluting and hastening the elimination of circulating toxins.In surgical inflammations, as a rule, nothing is gained by lowering the temperature, unless at the same time the cause is removed.When severe or prolonged pyrexia becomes a source of danger, the use of hot or cold sponging, or even the cold bath, is preferable to the administration of drugs.Relief of Symptoms.The coughing up of blood from the lungs is known as  hamoptysis ; vomiting of blood from the stomach, as  hamatemesis ; the passage of black-coloured stools due to the presence of blood altered by digestion, as  melana ; and the passage of bloody urine, as  hamaturia .Hamorrhage is known as arterial, venous, or capillary, according to the nature of the vessel from which it takes place.In  arterial  hamorrhage the blood is bright red in colour, and escapes from the cardiac end of the divided vessel in pulsating jets synchronously with the systole of the heart.In vascular parts for example the face both ends of a divided artery bleed freely.The blood flowing from an artery may be dark in colour if the respiration is impeded.When the heart's action is weak and the blood tension low the flow may appear to be continuous and not in jets.
describe: hamophilia|It is well to remember that those who suffer from scurvy, or hamophilia (bleeders), and fat and anamic females, are liable to be bruised by comparatively trivial injuries.Clinical Features.The less severe forms of contusion are associated with  ecchymosis , numerous minute and discrete punctate hamorrhages being scattered through the superficial layers of the skin, which is slightly œdematous.The effused blood is soon reabsorbed.The more severe forms are attended with  extravasation , the extravasated blood being widely diffused through the cellular tissue of the part, especially where this is loose and lax, as in the region of the orbit, the scrotum and perineum, and on the chest wall.A blue or bluish-black discoloration occurs in patches, varying in size and depth with the degree of force which produced the injury, and in shape with the instrument employed.This form of bleeding is serious in those who are the subjects of hamophilia.INJURIES OF ARTERIES The following description of the injuries of arteries refers to the larger, named trunks.The injuries of smaller, unnamed vessels are included in the consideration of wounds and contusions.Contusion.An artery may be contused by a blow or crush, or by the oblique impact of a bullet.The bruising of the vessel wall, especially if it is diseased, may result in the formation of a thrombus which occludes the lumen temporarily or even permanently, and in rare cases may lead to gangrene of the limb beyond.
describe: Hamorrhage|"Hamorrhage  from erosion of arterial or venous trunks may take place and endanger life.Treatment.The treatment of diffuse cellulitis depends to a large extent on the situation and extent of the affected area, and on the stage of the process.In the limbs , for example, where the application of a constricting band is practicable, Bier's method of inducing passive hyperamia yields excellent results.If pus is formed, one or more small incisions are made and a light moist dressing placed over the wounds to absorb the discharge, but no drain is inserted.The whole of the inflamed area should be covered with gauze wrung out of a 1 in 10 solution of ichthyol in glycerine.Hamorrhage is easily controlled by digital pressure, and the use of a tourniquet should be dispensed with, as the constriction of the limb is liable to interfere with the vitality of the flaps.When the tibial vessels can be felt pulsating at the ankle it may be justifiable, if the patient urgently desires it, to amputate lower than the knee; but there is considerable risk of gangrene recurring in the stump and necessitating a second operation.That amputation for senile gangrene performed between the ankle and the knee seldom succeeds, is explained by the fact that the vascular obstruction is usually in the upper part of the posterior tibial artery, and the operation is therefore performed through tissues with an inadequate blood supply.It is not uncommon, indeed, on amputating above the knee, to find even the popliteal artery plugged by a clot.This should be removed at the amputation by squeezing the vessel from above downward by a ""milking"" movement, or by ""catheterising the artery"" with the aid of a cannula with a terminal aperture.It is to be borne in mind that the object of amputation in these cases is merely to remove the gangrenous part, and so relieve the patient of the discomfort and the risks from infection which its presence involves."
describe: The cutaneous navus|"The cutaneous navus , ""mother's mark,"" or ""port-wine stain,"" consists of an aggregation of dilated capillaries in the substance of the skin.On stretching the skin the vessels can be seen to form a fine network, or to run in leashes parallel to one another.A dilated arteriole or a vein winding about among the capillaries may sometimes be detected.These navi occur on any part of the body, but they are most frequently met with on the face.They may be multiple, and vary greatly in size, some being no bigger than a pin-head, while others cover large areas of the body.In colour they present every tint from purple to brilliant red; in the majority there is a considerable dash of blue, especially in cold weather."
describe: Mixed Navus|Mixed Navus.As its name indicates, the mixed navus partakes of the characters of the other two varieties; that is, it is a subcutaneous navus with involvement of the skin.It is frequently met with on the face and head, but may occur on any part of the body.It also affects parts covered by mucous membrane, such as the cheek, tongue, and soft palate.The swelling is rounded or lobulated, and projects beyond the level of its surroundings.Sometimes the skin is invaded by the navoid tissue over the whole extent of the tumour, sometimes only over a limited area.
describe: the mixed navus|As its name indicates, the mixed navus partakes of the characters of the other two varieties; that is, it is a subcutaneous navus with involvement of the skin.It is frequently met with on the face and head, but may occur on any part of the body.It also affects parts covered by mucous membrane, such as the cheek, tongue, and soft palate.The swelling is rounded or lobulated, and projects beyond the level of its surroundings.Sometimes the skin is invaded by the navoid tissue over the whole extent of the tumour, sometimes only over a limited area.Frequently the margin only is of a bright-red colour, while the skin in the centre resembles a cicatrix.
